Yields before optimization
	signal:        44.471 +/- 27.0      
	background:      18753.309 +/- 65.4      

Z values
  before optimization:       0.012
  after optimization:        0.877

Best cuts
	met       	  > 494832.22
	mt        	  > 553027.81
	dPhiBJet1Met	  >   2.94
	mb1j1     	  < 137114.72
	amt2      	  > 441136.97

Yields after optimization (and relative efficiencies)
	sigma:         0.013
	count_signal         0.216
	fraction_signal      0.005

	count_MC16a_diboson1      0.000
	fraction_MC16a_diboson1        nan

	count_MC16a_diboson2      0.000
	fraction_MC16a_diboson2      0.000

	count_MC16a_diboson3      0.000
	fraction_MC16a_diboson3        nan

	count_MC16a_diboson4      0.000
	fraction_MC16a_diboson4      0.000

	count_MC16a_diboson5      0.000
	fraction_MC16a_diboson5      0.000

	count_MC16a_diboson6      0.000
	fraction_MC16a_diboson6      0.000

	count_MC16a_diboson7      0.000
	fraction_MC16a_diboson7      0.000

	count_MC16a_diboson8      0.000
	fraction_MC16a_diboson8        nan

	count_MC16a_diboson9      0.000
	fraction_MC16a_diboson9      0.000

	count_MC16a_diboson10      0.000
	fraction_MC16a_diboson10      0.000

	count_MC16a_diboson11      0.000
	fraction_MC16a_diboson11      0.000

	count_MC16a_diboson12      0.000
	fraction_MC16a_diboson12      0.000

	count_MC16a_diboson13      0.000
	fraction_MC16a_diboson13      0.000

	count_MC16a_diboson14      0.000
	fraction_MC16a_diboson14      0.000

	count_MC16a_diboson15      0.000
	fraction_MC16a_diboson15      0.000

	count_MC16a_singletop1      0.000
	fraction_MC16a_singletop1      0.000

	count_MC16a_singletop2      0.000
	fraction_MC16a_singletop2      0.000

	count_MC16a_singletop3      0.000
	fraction_MC16a_singletop3      0.000

	count_MC16a_singletop4      0.000
	fraction_MC16a_singletop4      0.000

	count_MC16a_singletop5      0.000
	fraction_MC16a_singletop5      0.000

	count_MC16a_singletop6      0.000
	fraction_MC16a_singletop6      0.000

	count_MC16a_singletop7      0.000
	fraction_MC16a_singletop7      0.000

	count_MC16a_smallbkgs1      0.000
	fraction_MC16a_smallbkgs1      0.000

	count_MC16a_smallbkgs2      0.000
	fraction_MC16a_smallbkgs2      0.000

	count_MC16a_smallbkgs3      0.000
	fraction_MC16a_smallbkgs3      0.000

	count_MC16a_smallbkgs4      0.000
	fraction_MC16a_smallbkgs4      0.000

	count_MC16a_ttV1      0.000
	fraction_MC16a_ttV1      0.000

	count_MC16a_ttV2      0.011
	fraction_MC16a_ttV2      0.000

	count_MC16a_ttV3      0.000
	fraction_MC16a_ttV3      0.000

	count_MC16a_ttV4      0.000
	fraction_MC16a_ttV4      0.000

	count_MC16a_ttV5      0.000
	fraction_MC16a_ttV5      0.000

	count_MC16a_ttV6      0.000
	fraction_MC16a_ttV6      0.000

	count_MC16a_ttbar1      0.000
	fraction_MC16a_ttbar1      0.000

	count_MC16a_ttbar2      0.000
	fraction_MC16a_ttbar2      0.000

	count_MC16a_ttbar3      0.000
	fraction_MC16a_ttbar3      0.000

	count_MC16a_ttbar4      0.000
	fraction_MC16a_ttbar4      0.000

	count_MC16a_wjets1      0.000
	fraction_MC16a_wjets1        nan

	count_MC16a_wjets2      0.000
	fraction_MC16a_wjets2        nan

	count_MC16a_wjets3      0.000
	fraction_MC16a_wjets3        nan

	count_MC16a_wjets4      0.000
	fraction_MC16a_wjets4        nan

	count_MC16a_wjets5      0.000
	fraction_MC16a_wjets5     -0.000

	count_MC16a_wjets6      0.000
	fraction_MC16a_wjets6      0.000

	count_MC16a_wjets7      0.000
	fraction_MC16a_wjets7      0.000

	count_MC16a_wjets8      0.000
	fraction_MC16a_wjets8      0.000

	count_MC16a_wjets9      0.000
	fraction_MC16a_wjets9      0.000

	count_MC16a_wjets10      0.000
	fraction_MC16a_wjets10      0.000

	count_MC16a_wjets11      0.000
	fraction_MC16a_wjets11      0.000

	count_MC16a_wjets12      0.000
	fraction_MC16a_wjets12      0.000

	count_MC16a_wjets13      0.000
	fraction_MC16a_wjets13      0.000

	count_MC16a_wjets14      0.000
	fraction_MC16a_wjets14      0.000

	count_MC16a_wjets15      0.000
	fraction_MC16a_wjets15        nan

	count_MC16a_wjets16      0.000
	fraction_MC16a_wjets16        nan

	count_MC16a_wjets17      0.000
	fraction_MC16a_wjets17     -0.000

	count_MC16a_wjets18      0.000
	fraction_MC16a_wjets18        nan

	count_MC16a_wjets19      0.000
	fraction_MC16a_wjets19      0.000

	count_MC16a_wjets20      0.000
	fraction_MC16a_wjets20      0.000

	count_MC16a_wjets21      0.000
	fraction_MC16a_wjets21      0.000

	count_MC16a_wjets22      0.000
	fraction_MC16a_wjets22      0.000

	count_MC16a_wjets23      0.000
	fraction_MC16a_wjets23      0.000

	count_MC16a_wjets24      0.000
	fraction_MC16a_wjets24      0.000

	count_MC16a_wjets25      0.000
	fraction_MC16a_wjets25      0.000

	count_MC16a_wjets26      0.000
	fraction_MC16a_wjets26      0.000

	count_MC16a_wjets27      0.000
	fraction_MC16a_wjets27      0.000

	count_MC16a_wjets28      0.000
	fraction_MC16a_wjets28      0.000

	count_MC16a_wjets29      0.000
	fraction_MC16a_wjets29        nan

	count_MC16a_wjets30      0.000
	fraction_MC16a_wjets30        nan

	count_MC16a_wjets31      0.000
	fraction_MC16a_wjets31     -0.000

	count_MC16a_wjets32      0.000
	fraction_MC16a_wjets32     -0.000

	count_MC16a_wjets33      0.000
	fraction_MC16a_wjets33      0.000

	count_MC16a_wjets34      0.000
	fraction_MC16a_wjets34     -0.000

	count_MC16a_wjets35      0.000
	fraction_MC16a_wjets35      0.000

	count_MC16a_wjets36      0.000
	fraction_MC16a_wjets36      0.000

	count_MC16a_wjets37      0.000
	fraction_MC16a_wjets37      0.000

	count_MC16a_wjets38      0.000
	fraction_MC16a_wjets38      0.000

	count_MC16a_wjets39      0.000
	fraction_MC16a_wjets39      0.000

	count_MC16a_wjets40      0.000
	fraction_MC16a_wjets40      0.000

	count_MC16a_zjets1      0.000
	fraction_MC16a_zjets1        nan

	count_MC16a_zjets2      0.000
	fraction_MC16a_zjets2        nan

	count_MC16a_zjets3      0.000
	fraction_MC16a_zjets3        nan

	count_MC16a_zjets4      0.000
	fraction_MC16a_zjets4        nan

	count_MC16a_zjets5      0.000
	fraction_MC16a_zjets5        nan

	count_MC16a_zjets6      0.000
	fraction_MC16a_zjets6      0.000

	count_MC16a_zjets7      0.000
	fraction_MC16a_zjets7        nan

	count_MC16a_zjets8      0.000
	fraction_MC16a_zjets8        nan

